number,name,r,g,b,lower,upper
0,Hoechst,0,0,255,10000,20000
1,AF,255,255,0,1000,5000
2,CD31,255,255,0,1000,5000
3,Ki67,255,255,0,1000,5000
4,CD68,0,255,0,500,3000
5,CD163,0,255,0,500,3000
6,CD20,255,0,0,500,3000
7,CD4,0,255,0,1000,5000
8,CD8,255,0,0,500,3000
9,CD11c,255,0,0,500,3000
10,PDL1,0,255,0,500,3000
11,CD3,255,0,255,500,3000
12,Ecad,255,0,0,500,3000
13,PD1,0,255,0,500,3000
14,FOXP3,255,0,255,500,30000
15,CD45,255,0,0,500,3000
16,PanCK,255,255,255,500,3000
17,blank,0,255,0,500,30000
18,SMA,255,0,0,500,5000
